id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1009940965142,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009940965142,,Regional Maintenance Manager,Amazon.com Services LLC,,2025-11-16,,direct_data,yearly,145500.0,216500.0,USD,True,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE6036.htm,https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png,,,,,,,,,,,
gd-1009940533884,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009940533884,,Senior Data Analyst,Tufts University,"Medford, MA",2025-11-15,,direct_data,yearly,96500.0,144800.0,USD,False,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE21675.htm,https://media.glassdoor.com/sql/21675/tufts-university-squarelogo.png,,,,,,,,,,,
gd-1009940583179,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009940583179,,Clinical Data Engineer,Cognizant,"Abbott Park, IL",2025-11-15,,direct_data,yearly,113000.0,120000.0,USD,False,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE8014.htm,https://media.glassdoor.com/sql/8014/cognizant-technology-solutions-squareLogo-1651131366751.png,,,,,,,,,,,
gd-1009940737857,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009940737857,,DATA ENGINEER,Atos,,2025-11-15,,,,,,,True,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE10686.htm,https://media.glassdoor.com/sql/10686/atos-squareLogo-1721812879589.png,,,,,,,,,,,
gd-1009940626256,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009940626256,,Sr Business Analyst - Velocity Black - AI/ML (Remote - Eligible),Capital One,"McLean, VA",2025-11-15,,,,,,,False,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE3736.htm,https://media.glassdoor.com/sql/3736/capital-one-squareLogo-1667853695285.png,,,,,,,,,,,
gd-1009939133644,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009939133644,,Data Analyst - Probability and Statistical Methods,Initiate Government Solutions,"Washington, DC",2025-11-14,,direct_data,yearly,69590.0,101195.0,USD,False,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE868579.htm,https://media.glassdoor.com/sql/868579/initiate-government-solutions-squarelogo-1433263858423.png,,,,,,,,,,,
gd-1009939681279,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009939681279,,Business Data Analyst (remote possible),First American Financial Corporation,"Santa Ana, CA",2025-11-14,,direct_data,yearly,65550.0,87375.0,USD,False,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE2526.htm,https://media.glassdoor.com/sql/2526/first-american-squarelogo-1567803238105.png,,,,,,,,,,,
gd-1009940324527,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009940324527,,"Data Analyst, District Partnerships",4MATIV Technologies,"Washington, DC",2025-11-14,,direct_data,yearly,65000.0,80000.0,USD,False,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE10529641.htm,,,,,,,,,,,,
gd-1009939228444,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009939228444,,Data Scientist,Grasshopper Bank,,2025-11-14,,,,,,,True,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE3020883.htm,https://media.glassdoor.com/sql/3020883/grasshopper-bank-squareLogo-1649188921333.png,,,,,,,,,,,
gd-1009940245607,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009940245607,,Senior Workforce Management Data Analyst,Omada Health,,2025-11-14,,direct_data,yearly,136400.0,178300.0,USD,True,,,organic,,,,https://www.glassdoor.com/Overview/W-EI_IE816614.htm,https://media.glassdoor.com/sql/816614/omada-health-squareLogo-1703781004783.png,,,,,,,,,,,
